Fax Modem Speed,Number Of Cartridges Included,Battery Type,Tray Capacity,Printer Resolution (Color),ISO Mono Print Speed,Phone Included,Number Of Speed Dials,Supported Paper Sizes,Mobile Device Printing,Compatible Cartridges,Provider_Product_ID,Black Printer Resolution,Maximum Fax Page Memory,EPEAT Qualified,Printer Type,Double-Sided Printing,Batteries Included,pricematch,Copier Resolution (Color),Print Quality,Print (Color) Speed,Type of Interface,Automatic Document Feeder Capacity,Copier Resolution,Media Sizes,Paper Compatibility,Touch Screen,Print (Black/Monochromatic) Speed,Integrated Fax,ENERGY STAR Certified,Copier Speed (B&W),Media Types,Maximum Photo Length,Display Screen Size,Transparency Scanning,Minimum System Requirements,Input Paper Capacity,Duty Cycle,Automatic Document Feeder,Integrated Answering System,Paper Handling,Compact Design,Print Speed (B&W),Multiple Copies,Maximum Document Width,Color Category,Number Of Cartridges Required,Automatic Redial,Maximum Document Length,EPEAT Level,Copier Resolution (Black),Duplex Scan Function,Dye-Sublimation Printer,Networking,Scan (Monochromatic) Speed,Scan (Color) Speed,Print Head Type,Interface(s),Printer Resolution (Black),Fax Machine Type,Maximum Number Of Copies,Scanner Type,Automatic Reduction/Enlargement,Ink Subscription Service Available,Maximum Photo Width,Scan Method,Copy Speed,Scanner Resolution (dpi),DND Omega Publish,Included Software,Networking Capabilities,Photo Printer,Internet Fax Capability,Scanner Resolution,Wireless Networking,Two-Sided Printer,Connector Type(s),Portable,Paper Feeder,Printer Connectivity,Drop Size,Print Speed (Color),Internal Memory,Copy (Color) Speed,PictBridge Enabled,Integrated Caller ID,Memory,Maximum Paper Capacity,Copy (Black/Monochromatic) Speed,ISO Color Print Speed,TWAIN Compliant,Memory Card Slot,Display Screen,Memory Card Type,Monochromatic/Color
33.6 kilobits per second,4,N/A,N/A,Up to 2400 x 1200,36 pages per minute,N/A,N/A,"Letter, oficio, legal, statement, executive, 3"" x 5"", 4"" x 6"", 5"" x 7"", 5"" x 8"", envelopes (No. 10, Monarch)",Yes,"HP 970 Black, HP 970XL High Yield Black, HP 971 Cyan, HP 971 Magenta, HP 971 Yellow|HP 971XL High Yield Cyan, HP 971XL High Yield Magenta, HP 971XL High Yield Yellow",N/A,N/A,N/A,Yes,All In One,Yes,N/A,yes,Up to 600,N/A,36 pages per minute,N/A,50 sheets,N/A,N/A,N/A,N/A,36 pages per minute,Yes,Yes,N/A,N/A,N/A,4.3 inches,N/A,"PC: Windows XP SP3 (32-bit), Vista, 7 or 8, Mac: OS X 10.6, 10.7 or 10.8, select Linux operating systems",N/A,"Up to 50,000",N/A,N/A,N/A,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,Bronze,Up to 600,N/A,N/A,Wired/Wireless,20 copies per minute,15 copies per minute,N/A,N/A,Up to 1200 x 1200,N/A,99,Sheetfed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 1200,N/A,N/A,N/A,No,N/A,USB,N/A,N/A,Yes,55 copies per minute,N/A,N/A,N/A,N/A,55 copies per minute,36 pages per minute,N/A,No,Yes,N/A,N/A
33.6 kilobits per second,4,N/A,550,Up to 2400 x 1200,36 pages per minute,N/A,N/A,"Letter A, legal, executive, statement, officio, A4, A5, A6, B5, B6, JIS B5, JIS B6, 3"" x 5"", 3.95"" x 5.9"", 4"" x 6"", 4"" x 8.3"", 5"" x 7"", 5"" x 8"", 8.5"" x 13"", envelopes (US #10 and more)",Yes,HP 970; HP 971; HP 970XL; HP 971XL,N/A,N/A,N/A,Yes,All In One,Yes,N/A,yes,Up to 600,N/A,36 pages per minute,N/A,50 sheets,N/A,N/A,N/A,N/A,36 pages per minute,Yes,Yes,N/A,N/A,N/A,4.3 inches,N/A,"PC: Windows XP (SP3), Vista, 7 or 8; Mac: OS X 10.6, 10.7 or 10.8; Linux",N/A,"Up to 50,000",N/A,N/A,Up to 550 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,Bronze,Up to 600,N/A,N/A,Wired,N/A,N/A,N/A,N/A,Up to 1200 x 1200,N/A,99,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,CD-Roms,N/A,Yes,N/A,Up to 1200 x 1200,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,55 copies per minute,N/A,N/A,N/A,N/A,55 copies per minute,36 pages per minute,N/A,No,Yes,N/A,N/A
14.4 kilobits per second,2,N/A,250,N/A,N/A,N/A,N/A,"Letter, legal, executive, folio, A4, A5, A6, B5, B6, envelopes, custom sizes (3""-8.5"" x 4.6""-16"")",No,TN420 Standard Yield Toner; TN450 High Yield Toner; DR420 Drum Unit,N/A,N/A,N/A,No,All In One,No,N/A,yes,N/A,N/A,N/A,N/A,20 sheets,N/A,N/A,N/A,N/A,21 pages per minute,Yes,No,N/A,N/A,N/A,N/A,N/A,"PC: Windows XP Professional x64, XP, Vista, 7 or 8; Mac: OS X v10.5.8, 10.6x, 10.7x or 10.8x; Linux",N/A,"Up to 10,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,Black,2,N/A,16 inches,N/A,Up to 300 x 600,N/A,N/A,Wired,N/A,N/A,N/A,N/A,Up to 2400 x 600,N/A,99,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,Includes Nuance PaperPort SE with OCR for Windows and Presto! PageManager for Mac,N/A,No,N/A,Up to 2400 x 600,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,21 copies per minute,N/A,N/A,No,Yes,N/A,Monochromatic
33.6 kilobits per second,6,N/A,100,Up to 5760 x 1440,9.5 pages per minute,N/A,N/A,"A4, A6, half letter, executive, 3.5"" x 5"", 4"" x 6"", 5"" x 7"", 8"" x 10"", 8.5"" x 11"", 8.5"" x 14"", printable CDs/DVDs",Yes,T277XL120; T277XL220; T277XL320; T277XL420; T277XL520; T277XL620; T277120; T277220; T277320; T277420,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,N/A,N/A,9 pages per minute,N/A,30 sheets,N/A,N/A,N/A,N/A,9.5 pages per minute,Yes,Yes,N/A,N/A,N/A,3.5 inches,N/A,"PC: Windows XP (32-bit, SP3), XP Professional x64 Edition, Vista (32- or 64-bit), 7 (32- or 64-bit) or 8 (32- or 64-bit); Mac: OS X 10.5.8, 10.6.x, 10.7.x or 10.8.x",N/A,Unknown,N/A,N/A,Up to 100 sheets,N/A,N/A,N/A,8.5 inches,Black,6,N/A,14 inches,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 5760 x 1440,N/A,99,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,CD-ROM containing software and drivers (Windows&#191; and Macintosh&#191;),N/A,Yes,N/A,Up to 4800,N/A,N/A,N/A,No,N/A,USB|Apple AirPrint,1.5 picoliters,N/A,Yes,8.1 copies per minute,N/A,N/A,N/A,N/A,8.1 copies per minute,9 pages per minute,N/A,Yes,Yes,N/A,N/A
N/A,2,N/A,100,Up to 4800 x 1200,9.1 pages per minute,N/A,N/A,"4"" x 6"", 5"" x 7"", 8"" x 10"", letter, legal, U.S. #10 envelopes",Yes,"PG-240XXL XXL black, PG-240XL XL black, PG-240 black, CL-241XL XL color, CL-241 color",N/A,N/A,N/A,No,All In One,N/A,N/A,yes,Up to 4800 x 1200,N/A,5.1 pages per minute,N/A,30 sheets,N/A,N/A,N/A,N/A,9.1 pages per minute,No,No,N/A,N/A,N/A,N/A,No,"PC: Windows XP (SP3, 32-bit), Vista (SP1 or SP2), 7, 7 (SP1), 8 or 8.1; Mac: OS X 10.6.8 - 10.9",N/A,"Up to 10,000",N/A,N/A,N/A,N/A,N/A,N/A,8.5 inches,Black,2,N/A,14 inches,N/A,Up to 600 x 600,No,N/A,Wireless,15 copies per minute,15 copies per minute,N/A,N/A,Up to 600 x 600,N/A,99,Other,Yes,No,N/A,N/A,N/A,N/A,N/A,My Image Garden,N/A,No,N/A,Up to 600 x 600,N/A,N/A,N/A,No,N/A,Wi-Fi,N/A,N/A,Yes,4.7 copies per minute,N/A,N/A,N/A,N/A,4.7 copies per minute,5.1 pages per minute,No,No,No,N/A,N/A
N/A,N/A,N/A,N/A,Up to 4800 x 1200,20 pages per minute,N/A,N/A,"Letter, Legal, A4, 8"" x 10"", 5"" x 7"", 4"" x 6""",Yes,"786 Standard capacity Black, Cyan, Magenta, Yellow, 786XL High-capacity Black, Cyan, Magenta, Yellow",N/A,N/A,N/A,No,All In One,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,3.5 inches,N/A,"Windows 8 (32-bit, 64-bit), Windows 7 (32-bit, 64-bit), Windows Vista (32-bit, 64-bit), Windows XP SP3 (32-bit), Windows XP Professional x64 Edition, Mac OS X 10.5.8 - 10.9.x7",N/A,"Up to 30,000",N/A,N/A,N/A,N/A,N/A,N/A,8.5 inches,Black,4,N/A,47.2 inches,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 4800 x 1200,N/A,N/A,Flatbed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 2400 x 1200,N/A,N/A,N/A,No,N/A,Apple AirPrint,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,19 copies per minute,20 pages per minute,N/A,No,Yes,N/A,N/A
33.6 kilobits per second,4,N/A,250,Up to 2400 x 600,N/A,N/A,N/A,"Up to 8.5"" x 14""",Yes,N/A,N/A,N/A,N/A,No,All In One,N/A,N/A,yes,Up to 600 x 600,N/A,19 pages per minute,N/A,35 sheets,N/A,N/A,N/A,N/A,19 pages per minute,Yes,Yes,N/A,N/A,N/A,3.7 inches,N/A,"PC: Windows XP Home, XP Professional, XP x64, Server 2003, Server Home, Vista, 7 or 8, Mac: v10.6.8, 10.7.x, 10.8.x",N/A,"Up to 30,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,Gray,4,N/A,14 inches,N/A,Up to 600 x 600,N/A,N/A,Wireless,19 copies per minute,19 copies per minute,N/A,N/A,N/A,N/A,99,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 2400 x 1200,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,19 copies per minute,N/A,N/A,N/A,N/A,19 copies per minute,N/A,N/A,No,Yes,N/A,Color
33.6 kilobits per second,4,N/A,250,Up to 4800 x 1200,16.5 pages per minute,N/A,N/A,"Letter, legal, government legal, executive, statement, L, photo 2L, 3"" x 5"", 3.9"" x 5.9"", 5.1"" x 7.1"", 8"" x 10"", envelopes (#10, Monarch, 5.5bar), cards (3"" x 5"", 4"" x 6"", 5"" x 8"")",Yes,"HP 950 Black, HP 951 Cyan, HP 951 Magenta, HP 951 Yellow|HP 950XL Black, HP 951XL Cyan, HP 951XL Magenta, HP 951XL Yellow",N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 1200 x 600,N/A,16.5 pages per minute,N/A,50 sheets,N/A,N/A,N/A,N/A,21 pages per minute,Yes,No,N/A,N/A,N/A,4.3 inches,N/A,"PC: Windows XP (32-bit, SP3): Intel Pentium II, Celeron or compatible 233MHz processor; 750MB hard drive; Internet Explorer 6; Windows Vista: 800MHz 32-bit (x86) or 64-bit (x64) processor; 2GB hard drive space; Internet Explorer",N/A,"Up to 30,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,N/A,Up to 1200 x 600,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 1200 x 1200,N/A,99,Sheetfed,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 1200 x 1200,N/A,N/A,N/A,No,N/A,USB,N/A,N/A,Yes,14 copies per minute,N/A,N/A,N/A,N/A,13 copies per minute,16.5 pages per minute,N/A,No,Yes,N/A,N/A
N/A,2,N/A,N/A,N/A,47 pages per minute,N/A,N/A,"8.5"" x 14""",Yes,N/A,N/A,N/A,N/A,No,Printer,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47 pages per minute,N/A,No,N/A,N/A,N/A,N/A,N/A,None,N/A,"Up to 100,000",N/A,N/A,N/A,N/A,N/A,N/A,8.5 inches,White,2,N/A,14 inches,N/A,N/A,N/A,N/A,Wired,N/A,N/A,N/A,N/A,Up to 1200 x 1200,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,Ethernet,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Monochromatic
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Up to 1200 x 1200 dpi,N/A,N/A,N/A,N/A,N/A,yes,N/A,For documents,N/A,"USB,",N/A,N/A,"A4 - 8.27"" x 11.69"", A5 - 5.83"" x 8.27"", A6 - 4.13"" x 5.83"", B5 (JIS), Custom Size, Executive - 8.50"" x 7.24"", Legal - 8.50"" x 14.02"", Letter - 8.50"" x 10.98""",N/A,N/A,N/A,N/A,Yes,N/A,"Bond Paper, Card Stock, Color Paper, Envelope, Letterhead, Plain Paper, Pre-punched Paper, Preprinted Paper, Recycled Paper, Rough Paper, Transparency, pack",N/A,N/A,N/A,N/A,Up to 500 sheets,N/A,N/A,N/A,N/A,N/A,Up to 42 ppm (Print speeds vary with use. See manufacturer for info on print speeds.),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,128MB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1,N/A,N/A,N/A,40 pages per minute,N/A,N/A,"Up to 8.5"" x 14""",Yes,N/A,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 1200 x 600,N/A,N/A,N/A,50 sheets,N/A,N/A,N/A,N/A,40 pages per minute,No,No,N/A,N/A,N/A,N/A,N/A,Windows or Mac OS,N/A,"Up to 50,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,N/A,Black,2,N/A,N/A,N/A,Up to 1200 x 1200,Yes,N/A,Wired,N/A,N/A,N/A,N/A,Up to 1200 x 1200,N/A,N/A,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,Includes Nuance PaperPort SE with OCR for Windows and Presto! PageManager for Mac,N/A,No,N/A,Up to 19200 x 19200,N/A,N/A,N/A,No,N/A,USB,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,40 copies per minute,N/A,Yes,Yes,Yes,N/A,Monochromatic
33.6 kilobits per second,2,N/A,125,Up to 4800 x 1200,12 pages per minute,N/A,N/A,"Letter, legal, 4"" x 6"", 5"" x 7"", 8"" x 10"", no. 10 envelopes",Yes,"HP 62, HP 62 Tri-color, HP 62XL Black, HP 62XL Tri-color",N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 600 x 600,N/A,8 pages per minute,N/A,25 sheets,N/A,N/A,N/A,N/A,12 pages per minute,Yes,No,N/A,N/A,N/A,2.7 inches,N/A,"PC: Windows XP (32-bit, SP3): Intel Pentium II, Celeron or compatible 233MHz processor; 850MB hard drive space; Internet Explorer 6; Windows Vista: 800MHz 32-bit (x86) or 64-bit (x64) processor; 2GB hard drive space",N/A,"Up to 1,000",N/A,N/A,Up to 125 sheets,N/A,N/A,N/A,8.5 inches,Black,2,N/A,14 inches,N/A,Up to 600 x 600,N/A,N/A,Wired/Wireless,4 copies per minute,4 copies per minute,N/A,N/A,Up to 1200 x 1200,N/A,20,Flatbed,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 1200 x 1200,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,5 copies per minute,N/A,N/A,N/A,N/A,10 copies per minute,8 pages per minute,N/A,Yes,Yes,None,N/A
N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,"Letter, Legal, Executive, A4, A5, B5",No,N/A,N/A,N/A,N/A,No,Printer,Yes,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27 pages per minute,N/A,No,N/A,N/A,N/A,N/A,N/A,None,N/A,"Up to 10,000",N/A,N/A,"Letter, Legal, Executive, A4, A5, B5",N/A,N/A,N/A,N/A,Black,1,N/A,N/A,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 2400 x 600,N/A,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,USB,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Monochromatic
N/A,2,N/A,N/A,Up to 4800 x 600,9.7 pages per minute,N/A,N/A,"4"" x 6"", 5"" x 7"", Letter, Legal, U.S. #10 Envelopes",Yes,"CL-241, CL-241XL, PG-240; PG-240XL; PG-240XXL",N/A,N/A,N/A,No,All In One,N/A,N/A,yes,N/A,N/A,4 pages per minute,N/A,30 sheets,N/A,N/A,N/A,N/A,8 pages per minute,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"Windows 8, Windows 7, Windows 7 SP1, Windows Vista SP1, Vista SP2, Windows XP SP3 32-bit, Mac OS X v10.6.8 - 10.9.x7",N/A,Unknown,N/A,N/A,N/A,N/A,N/A,N/A,8.5 inches,Gray,2,N/A,14 inches,N/A,N/A,N/A,N/A,Wireless,N/A,N/A,N/A,N/A,Up to 600 x 600,N/A,N/A,Flatbed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Up to 1200 x 600,N/A,N/A,N/A,Yes,N/A,USB,N/A,N/A,No,4.7 copies per minute,N/A,N/A,N/A,N/A,N/A,5.5 pages per minute,N/A,No,Yes,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Up to 1200 x 1200 dpi,N/A,N/A,N/A,N/A,N/A,yes,N/A,For documents,N/A,"Yes, Yes",N/A,N/A,"3"" x 5"", 4"" x 6"", 5"" x 7"", 5"" x 8"", Envelope No. 10, Envelope No. 9, Executive - 7.24"" x 10.51"", Legal - 8.50"" x 14.02"", Letter - 8.50"" x 10.98"", Monarch Envelope, Officio, Statement - 8.50"" x 5.51""",N/A,N/A,N/A,N/A,Yes,Up to 31 cpm (Copier speeds vary with use. See manufacturer for info on copier speeds.),"Bond Paper, Card Stock, Color Paper, Envelope, Glossy Paper, Heavy Paper, Letterhead, Light Paper, Opaque Film, Plain Paper, Pre-punched Paper, Preprinted Paper, Recycled Paper, Rough Paper, Transparency, pack",N/A,N/A,N/A,N/A,Up to 100 sheets,N/A,N/A,N/A,N/A,N/A,Up to 31 ppm (Print speeds vary with use. See manufacturer for info on print speeds.),"Up to 9,999",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Flatbed,N/A,N/A,N/A,Flatbed,N/A,600 dpi,Yes,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,31 ppm,N/A,N/A,N/A,N/A,1.50GB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,Up to 6000 x 1200,27 pages per minute,N/A,N/A,"Letter, legal",No,"LC203BK, LC203C, LC203M, LC203Y",N/A,N/A,N/A,No,All In One,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,"Windows, Mac OS",N/A,"Up to 13,000",N/A,N/A,N/A,N/A,N/A,N/A,11 inches,Multi,4,N/A,17 inches,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 6000 x 1200,N/A,N/A,Flatbed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 2400 x 1200,N/A,N/A,N/A,No,N/A,Brother iPrint&Scan|Google Cloud Print,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,12 copies per minute,35 pages per minute,N/A,Yes,N/A,N/A,N/A
33.6 kilobits per second,4,N/A,500,Up to 4800 x 1200,18 pages per minute,N/A,N/A,"3.5"" x 5"", 4"" x 6"", 5"" x 7"", 8"" x 10"", 8.5"" x 11"", 11"" x 17"", 13"" x 19"", A4, A6, half letter, executive, user-definable (3.5"" x 47.2"" in length)",Yes,252|252XL,N/A,N/A,N/A,No,All In One,Yes,N/A,yes,Up to 600 x 600,N/A,10 pages per minute,N/A,35 sheets,N/A,N/A,N/A,N/A,18 pages per minute,Yes,No,N/A,N/A,N/A,4.3 inches,N/A,"PC: Windows Server 2003, Server 2003 R2, Server 2008, Server 2008 R2, Server 2012, Server 2012 R2, XP SP3 (32-bit), XP Professional x64 Edition, Vista (32- or 64-bit), 7 (32- or 64-bit) or 8.x (32- or 64-bit); Mac: OS X 10.5.8 - 10.9.x",N/A,"Up to 20,000",N/A,N/A,Up to 500 sheets,N/A,N/A,N/A,13 inches,Black,4,N/A,47.2 inches,N/A,Up to 600 x 600,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 4800 x 1200,N/A,999,Flatbed|Sheetfed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 2400 x 1200,N/A,N/A,N/A,No,N/A,USB|Apple AirPrint,2.8 picoliters,N/A,Yes,8.8 copies per minute,N/A,N/A,N/A,N/A,16 copies per minute,10 pages per minute,N/A,Yes,Yes,N/A,N/A
33.6 kilobits per second,4,N/A,500,Up to 2400 x 1200,42 pages per minute,N/A,N/A,"Tray 1: letter, oficio, legal, statement, executive, 3"" x 5"", 4"" x 6"", 5"" x 7"", #10 and Monarch envelopes; Tray 2: letter, statement, executive, #10 envelopes; Tray 3: letter, oficio, legal, statement, executive",Yes,"HP 970, HP 971, HP 970XL, HP 971XL",N/A,N/A,N/A,Yes,All In One,Yes,N/A,yes,Up to 600,N/A,70 pages per minute,N/A,50 sheets,N/A,N/A,N/A,N/A,70 pages per minute,Yes,Yes,N/A,N/A,N/A,4.3 inches,N/A,"Windows XP (SP3 or later, 32-bit): Intel Pentium II, Celeron or compatible 233MHz processor; 750MB hard drive space; Vista: 800MHz 32-bit (x86) or 64-bit (x64) processor; 2GB hard drive space; Windows 7 or 8",N/A,"Up to 75,000",N/A,N/A,N/A,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,Bronze,Up to 600,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 1200 x 1200,N/A,99,Flatbed,Yes,No,N/A,N/A,N/A,N/A,N/A,CD-ROMs,N/A,Yes,N/A,Up to 1200,N/A,N/A,N/A,No,N/A,USB 2.0,N/A,N/A,Yes,70 copies per minute,N/A,N/A,N/A,N/A,70 copies per minute,42 pages per minute,N/A,No,Yes,N/A,N/A
N/A,4,N/A,250,Up to 4800 x 1200,15 pages per minute,N/A,N/A,"A4, A5, A6, B5 (JIS), 6"" x 8"", executive, 3"" x 5"", 4"" x 6"", 5"" x 7"", 8"" x 10"", L, photo 2L, 8.5"" x 13"", legal, letter, statement, Ofuku Hagaki, Japanese postcard, #10 envelopes and more",Yes,"HP 932, HP 933, HP 933XL",N/A,N/A,N/A,No,Printer,N/A,N/A,yes,N/A,N/A,9 pages per minute,N/A,250 sheets,N/A,N/A,N/A,N/A,15 pages per minute,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"PC: Windows XP SP3 (32-bit): Intel Pentium II, Celeron or 233MHz compatible processor; Vista (32-/64-bit): 800MHz processor; 7 or 8 (32-/64-bit): 1.0GHz processor; Mac: OS X 10.6, Lion or Mountain Lion: Intel Core processor",N/A,"Up to 12,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,Black,4,N/A,14 inches,N/A,N/A,N/A,N/A,Wired/Wireless,N/A,N/A,N/A,N/A,Up to 1200 x 600,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,No,Tray loader,USB 2.0,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,9 pages per minute,N/A,No,No,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Up to 1200 x 1200 dpi,N/A,N/A,N/A,N/A,N/A,yes,N/A,For documents,N/A,"USB,",N/A,N/A,"3"" x 5"", 4"" x 6"", 5"" x 7"", A4 - 8.27"" x 11.69"", Envelope No. 10, Envelope No. 9, Executive - 7.24"" x 10.51"", Folio - 8.50"" x 13"", Legal - 8.50"" x 14.02"", Letter - 8.50"" x 10.98"", Monarch Envelope, Statement - 7.24"" x 10.51""",N/A,N/A,N/A,N/A,Yes,N/A,"Bond Paper, Card Stock, Color Paper, Envelope, Letterhead, Light Paper, Plain Paper, Postcard, Pre-punched Paper, Preprinted Paper, Recycled Paper, Rough Paper, Transparency, pack",N/A,N/A,N/A,N/A,Up to 100 sheets,N/A,N/A,N/A,N/A,N/A,Up to 45 ppm (Print speeds vary with use. See manufacturer for info on print speeds.),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,512MB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33.6 kilobits per second,4,N/A,250,Up to 600 x 600,22 pages per minute,N/A,N/A,5.5x5 to 8.5x14,Yes,N/A,N/A,N/A,N/A,Yes,Printer|Copier|Scanner|Fax,N/A,N/A,yes,Up to 600 x 600,N/A,22 pages per minute,N/A,50 sheets,N/A,N/A,N/A,N/A,22 pages per minute,N/A,Yes,N/A,N/A,N/A,3.5 inches,N/A,"PC: Windows XP, 2000, Server 2003 or 2008, Vista or 7, Mac: OS X 10.4.9 or later, Linux (print only)",N/A,"Up to 65,000",N/A,N/A,Up to 250 sheets,N/A,N/A,N/A,8.5 inches,White,4,N/A,14 inches,Bronze,Up to 600 x 600,N/A,N/A,Wired,11 copies per minute,11 copies per minute,N/A,N/A,N/A,N/A,99,Flatbed,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,Up to 600 x 600,N/A,N/A,N/A,No,"Cassette, Multipurpose tray",USB 2.0,N/A,N/A,Yes,22 copies per minute,N/A,N/A,N/A,N/A,22 copies per minute,22 pages per minute,N/A,N/A,Yes,N/A,Color
